sq_mt_built,n_rooms,n_bathrooms,n_floors,buy_price,is_renewal_needed,has_lift,is_exterior,has_parking,energy_certificate,house_type
58.0,2,1,1,118000,0,0,1,0,0,0
70.0,2,1,1,202000,0,1,1,0,0,0
47.0,1,1,1,144000,0,1,1,0,0,0
64.0,2,1,1,98968,0,0,1,0,1,0
50.0,2,1,1,105000,0,0,1,0,3,0
103.0,3,2,2,265000,0,1,1,1,0,3
90.0,3,2,1,290000,0,1,1,1,0,0
66.0,2,1,1,90000,0,0,1,0,0,0
70.0,2,1,1,75000,0,0,1,0,0,0
60.0,2,1,1,125000,0,0,1,0,0,0
101.0,2,2,1,255000,0,1,1,1,0,0
75.0,3,1,1,117300,0,0,1,0,3,0
55.0,2,1,1,96600,1,0,1,0,1,0
77.0,3,1,1,119000,0,0,1,0,0,0
56.0,3,1,1,100000,0,1,1,0,0,0
68.0,3,1,1,97000,0,0,1,0,0,0
72.0,3,1,1,95000,1,1,1,0,0,0
70.0,3,1,1,135000,0,0,1,0,3,0
75.0,2,2,1,195000,0,0,1,0,0,0
120.0,3,1,1,195000,0,0,1,0,0,0
91.0,2,2,1,215000,0,1,1,1,0,0
95.0,2,1,1,122000,0,0,1,0,0,0
61.0,3,1,1,125000,0,0,1,0,0,0
73.0,2,1,1,120000,0,0,1,0,0,0
66.0,3,1,1,93000,1,0,1,0,1,0
68.0,2,1,1,125000,0,0,1,0,0,0
70.0,3,1,1,104840,0,0,1,0,0,0
42.0,4,1,1,95900,0,0,1,0,3,0
54.0,3,1,1,71000,1,0,1,0,1,0
56.0,3,1,1,105000,0,1,1,0,0,0
100.0,4,1,1,165000,0,1,1,0,7,0
125.0,4,2,1,173000,0,1,1,0,0,0
54.0,3,1,1,71000,1,0,1,0,0,0
130.0,4,2,1,168000,0,1,1,0,0,0
68.0,2,1,1,99900,0,0,1,0,0,0
85.0,3,1,1,128000,1,0,1,0,0,0
75.0,3,1,1,120000,0,0,1,0,0,0
80.0,2,1,1,95000,0,0,1,0,0,0
64.0,2,1,1,110000,0,0,1,0,3,0
69.0,4,1,1,85900,0,0,1,0,0,0
115.0,4,1,1,184900,0,0,1,0,0,0
70.0,3,1,1,142500,0,0,0,0,0,0
56.0,2,1,1,109000,0,0,1,0,0,0
90.0,2,1,1,140000,0,0,1,0,0,0
75.0,3,1,1,117300,0,0,1,0,3,0
71.0,2,1,1,120000,0,0,1,0,0,0
76.0,3,1,1,110000,0,1,1,0,1,0
114.0,4,2,1,299000,0,1,1,0,0,0
90.0,3,2,1,180000,0,1,1,1,0,0
70.0,3,1,1,85000,1,0,1,0,0,0
80.0,3,1,1,100000,1,0,1,0,7,0
96.0,4,2,1,170000,1,1,1,0,0,0
50.0,1,1,1,125000,0,1,1,0,0,0
85.0,3,2,1,230000,0,1,1,1,0,0
90.0,3,2,1,300000,0,1,1,1,0,0
60.0,3,1,1,120000,0,1,1,0,0,0
90.0,2,2,1,240000,0,1,1,1,0,4
60.0,3,1,1,140000,0,0,1,0,0,0
105.0,3,2,1,135000,0,0,1,0,0,0
140.0,3,3,2,340000,1,1,1,1,7,3
112.0,3,2,1,230000,0,0,1,0,0,0
60.0,3,1,1,145000,0,0,1,0,0,0
62.0,2,1,1,142450,1,0,1,0,0,0
240.0,4,3,3,580000,0,0,1,1,0,1
81.0,3,1,1,160000,0,1,1,0,6,0
75.0,3,1,1,180000,0,0,1,1,0,0
72.0,3,1,1,130000,0,1,1,0,0,0
95.0,2,2,1,250000,0,1,1,1,0,0
49.0,1,1,1,190000,0,1,1,1,0,0
90.0,3,1,1,169000,0,0,1,0,0,0
78.0,2,1,1,168000,0,0,1,0,0,0
100.0,3,1,1,210000,0,0,1,0,0,0
70.0,3,1,1,95000,0,1,1,0,0,0
52.0,2,1,1,74800,1,0,1,0,0,0
56.0,3,1,1,78000,1,0,1,0,0,0
110.0,3,2,1,189000,0,1,1,1,3,0
115.0,3,3,2,245000,0,1,1,1,0,3
70.0,3,1,1,97000,0,0,1,0,0,0
75.0,3,1,1,155000,0,1,1,0,0,0
116.0,4,2,1,170000,1,1,1,0,0,0
48.0,2,1,1,120000,0,1,1,0,4,0
80.0,3,1,1,125000,1,0,1,0,0,0
81.0,3,1,1,139500,0,0,1,0,7,0
95.0,4,2,1,198000,1,1,1,0,0,0
60.0,4,1,1,75000,1,0,1,0,3,0
50.0,2,1,1,123000,0,1,1,0,7,0
50.0,1,1,1,148000,0,1,1,1,6,0
242.0,4,3,4,380000,0,0,1,1,0,1
166.0,3,1,3,300000,1,0,1,0,0,1
50.0,2,1,1,140000,0,0,1,0,5,0
94.0,4,1,1,190000,0,1,1,0,0,0
80.0,3,1,1,150000,0,0,1,0,0,0
65.0,2,1,1,110000,0,0,1,0,0,0
105.0,3,2,1,190000,0,1,1,1,0,0
100.0,3,1,1,142000,0,1,1,0,0,0
64.0,3,1,1,95000,0,0,1,0,0,0
85.0,2,2,1,229000,0,1,1,0,0,0
72.0,3,1,1,140000,0,0,1,0,4,0
92.0,3,1,1,119000,0,1,1,0,0,0
106.0,3,1,1,145000,0,1,1,0,0,0
67.0,2,1,1,115000,0,0,1,0,3,0
60.0,2,1,1,150000,0,0,1,0,0,0
71.0,2,1,1,202000,0,1,1,0,1,0
48.0,1,1,1,144000,0,1,1,0,1,0
60.0,2,1,1,120000,0,0,1,0,0,0
60.0,3,1,1,105000,0,0,1,0,0,0
61.0,3,1,1,108000,0,1,1,0,0,0
115.0,3,1,1,147000,0,1,1,0,0,0
55.0,2,1,1,95000,0,0,1,0,0,0
65.0,3,1,1,99500,1,1,1,0,0,0
118.0,3,2,2,179000,0,1,1,1,0,3
54.0,3,1,1,91958,0,0,1,0,1,0
80.0,3,1,1,100000,1,0,1,0,0,0
147.0,4,2,2,340000,0,1,1,1,7,3
81.0,3,1,1,139500,0,0,1,0,7,0
108.0,4,2,1,156000,0,0,1,0,0,0
133.0,4,2,1,280000,0,1,1,1,0,0
90.0,3,2,1,139000,0,1,1,0,0,0
63.0,2,1,1,102000,1,0,1,0,0,0
95.0,2,1,1,154500,0,1,1,0,1,0
76.0,2,1,1,109492,0,0,1,0,1,0
115.0,3,1,1,148000,0,1,1,0,7,0
70.0,3,1,1,95000,0,0,1,0,6,0
71.0,3,1,1,100000,0,1,1,0,6,0
70.0,3,1,1,97000,0,0,1,0,0,0
100.0,3,2,1,179000,0,1,1,0,0,0
63.0,3,1,1,119000,0,0,1,0,0,0
60.0,2,1,1,95000,0,0,1,0,7,0
105.0,3,2,1,260000,0,1,1,0,0,0
93.0,2,2,1,210000,0,1,1,1,0,0
80.0,2,2,1,250000,0,1,1,1,0,0
54.0,2,1,1,148000,0,0,1,0,0,0
64.0,2,1,1,99000,0,0,1,0,0,0
68.0,3,1,1,88000,1,0,1,0,0,0
75.0,3,1,1,120000,0,0,1,0,4,0
100.0,3,2,1,299995,0,1,1,1,0,0
62.0,2,2,1,148000,0,0,1,0,0,0
78.0,3,1,1,127000,0,1,0,0,0,0
83.0,3,1,1,155000,0,0,1,0,0,0
68.0,3,1,1,97000,0,0,1,0,0,0
76.0,3,1,1,108000,0,1,1,0,2,0
66.0,2,1,1,95000,1,0,1,0,0,0
65.0,3,1,1,110000,1,0,1,0,0,0
65.0,2,1,1,125000,0,1,1,0,0,0
70.0,2,2,1,196000,0,0,1,1,3,0
49.0,2,1,1,120000,0,0,1,0,4,0
100.0,3,2,1,210000,0,1,1,0,0,0
90.0,4,2,1,230000,0,1,1,1,2,0
65.0,3,1,1,107583,0,0,1,0,0,0
68.0,2,1,1,120000,0,1,1,0,0,0
90.0,3,1,1,140000,1,0,1,0,0,0
55.0,2,1,1,135000,0,1,1,0,0,0
70.0,2,1,1,126000,0,0,1,0,0,0
123.0,4,2,1,220000,0,0,1,1,2,0
74.0,2,2,1,198000,0,1,1,0,4,0
64.0,2,1,1,150000,0,0,1,0,0,0
80.0,3,2,2,160000,0,1,1,1,3,3
113.0,3,2,1,359900,0,1,1,1,4,0
89.0,3,2,1,174000,0,1,1,1,3,0
109.0,3,1,1,185000,0,0,1,0,7,0
120.0,3,1,1,180000,1,0,1,0,3,0
101.0,2,2,1,245000,0,1,1,1,0,0
75.0,2,1,1,146000,0,0,1,0,0,0
52.0,2,1,1,85000,0,1,1,0,0,0
75.0,3,1,1,139900,0,0,1,0,0,0
75.0,3,1,1,113000,0,0,1,0,0,0
30.0,1,1,1,72000,0,0,1,0,0,0
54.0,3,1,1,91957,0,0,1,0,0,0
65.0,3,1,1,109900,0,0,1,0,0,0
65.0,2,1,1,105000,0,0,1,0,3,0
60.0,2,1,1,70000,0,0,1,0,0,0
69.0,2,1,1,132000,0,0,1,0,0,0
65.0,3,1,1,120000,0,1,1,0,0,0
90.0,3,1,1,159000,0,0,0,0,0,0
100.0,3,2,1,230000,0,1,1,1,3,0
62.0,2,1,1,93000,0,0,1,0,3,0
83.0,3,2,1,99900,0,1,1,0,3,0
81.0,3,1,1,116100,0,0,1,0,1,0
65.0,3,1,1,120000,0,0,1,0,0,0
60.0,2,1,1,138000,0,0,1,1,7,0
83.0,3,1,1,116675,0,0,1,0,0,0
76.0,2,1,1,109491,0,1,1,0,0,0
95.0,4,1,1,138000,0,0,1,0,0,0
80.0,2,2,1,250000,0,1,1,1,7,0
88.0,2,2,1,304000,0,1,1,0,0,0
67.0,3,1,1,150000,0,0,1,0,0,0
90.0,3,1,1,208000,0,1,1,0,0,0
75.0,3,1,1,114900,0,1,0,0,0,0
89.0,3,1,1,139000,1,1,1,0,0,0
66.0,2,1,1,116600,0,1,1,0,0,0
94.0,3,1,1,207000,0,0,1,0,0,0
85.0,2,2,1,180000,0,1,1,1,0,0
68.0,2,1,1,207000,0,1,1,1,0,0
105.0,3,2,1,182260,0,0,1,1,0,0
85.0,3,1,1,159000,0,0,1,1,0,0
88.0,3,1,1,116000,0,0,1,0,0,0
160.0,2,1,1,260000,0,1,1,1,0,4
60.0,2,1,1,99000,0,0,1,0,0,0
90.0,3,2,1,172000,0,1,1,1,0,0
88.0,3,1,1,132260,0,0,1,0,0,0
53.0,1,1,1,144000,0,1,1,0,1,4
89.0,3,2,1,235000,0,1,1,1,3,0
119.0,3,2,1,269000,0,1,1,1,0,0
65.0,3,1,1,97000,0,0,1,0,0,0
120.0,4,2,1,173000,0,1,1,0,0,0
85.0,3,1,1,140200,0,0,1,0,0,0
110.0,2,2,1,225000,0,1,1,1,0,0
116.0,3,2,1,295000,0,1,1,1,0,0
80.0,3,1,1,135000,0,0,1,1,3,0
115.0,3,2,1,275000,0,1,1,1,0,0
114.0,4,2,1,257000,0,1,1,0,0,0
95.0,4,1,1,175000,0,1,1,1,0,0
110.0,3,2,1,274999,0,1,1,1,0,0
70.0,2,1,1,146750,0,1,1,0,0,0
86.0,2,2,1,218000,0,1,0,1,0,0
100.0,3,2,1,285000,0,1,1,1,7,0
274.0,8,3,3,495000,0,0,1,0,0,1
124.0,3,2,1,260000,0,1,1,1,0,0
60.0,3,1,1,84900,1,0,0,0,0,0
62.0,3,1,1,108000,0,0,1,0,0,0
118.0,3,2,1,224000,0,0,1,0,0,0
92.0,2,2,1,154500,0,1,1,0,0,0
78.0,3,1,1,116050,0,0,1,0,0,0
70.0,3,1,1,129990,0,0,1,0,0,0
